Id_Estado,Id_Tienda
BAJA CALIFORNIA,4947t
BAJA CALIFORNIA,4948t
BAJA CALIFORNIA,4949t
BAJA CALIFORNIA,4950t
BAJA CALIFORNIA,4951t
BAJA CALIFORNIA,4952t
BAJA CALIFORNIA,4953t
BAJA CALIFORNIA,4954t
BAJA CALIFORNIA,4955t
BAJA CALIFORNIA,4956t
BAJA CALIFORNIA,4957t
BAJA CALIFORNIA,4958t
BAJA CALIFORNIA,4959t
BAJA CALIFORNIA,4960t
BAJA CALIFORNIA,4961t
NUEVO LEON,4961t
BAJA CALIFORNIA,4962t
BAJA CALIFORNIA,4963t
BAJA CALIFORNIA,4964t
BAJA CALIFORNIA,4965t
BAJA CALIFORNIA,4966t
BAJA CALIFORNIA,4967t
BAJA CALIFORNIA,4968t
BAJA CALIFORNIA,4969t
BAJA CALIFORNIA,4970t
BAJA CALIFORNIA,4971t
BAJA CALIFORNIA,4972t
BAJA CALIFORNIA,4973t
BAJA CALIFORNIA,4974t
BAJA CALIFORNIA,4975t
BAJA CALIFORNIA,4976t
BAJA CALIFORNIA,4977t
BAJA CALIFORNIA,4978t
BAJA CALIFORNIA,4979t
BAJA CALIFORNIA,4980t
BAJA CALIFORNIA SUR,243t
BAJA CALIFORNIA SUR,244t
BAJA CALIFORNIA SUR,245t
BAJA CALIFORNIA SUR,246t
BAJA CALIFORNIA SUR,247t
BAJA CALIFORNIA SUR,248t
BAJA CALIFORNIA SUR,249t
BAJA CALIFORNIA SUR,250t
BAJA CALIFORNIA SUR,251t
BAJA CALIFORNIA SUR,252t
BAJA CALIFORNIA SUR,253t
BAJA CALIFORNIA SUR,254t
BAJA CALIFORNIA SUR,255t
BAJA CALIFORNIA SUR,256t
BAJA CALIFORNIA SUR,257t
BAJA CALIFORNIA SUR,258t
BAJA CALIFORNIA SUR,259t
BAJA CALIFORNIA SUR,260t
BAJA CALIFORNIA SUR,261t
BAJA CALIFORNIA SUR,262t
BAJA CALIFORNIA SUR,263t
BAJA CALIFORNIA SUR,264t
BAJA CALIFORNIA SUR,265t
BAJA CALIFORNIA SUR,266t
BAJA CALIFORNIA SUR,267t
BAJA CALIFORNIA SUR,268t
BAJA CALIFORNIA SUR,269t
BAJA CALIFORNIA SUR,270t
BAJA CALIFORNIA SUR,271t
BAJA CALIFORNIA SUR,272t
BAJA CALIFORNIA SUR,273t
BAJA CALIFORNIA SUR,274t
BAJA CALIFORNIA SUR,275t
BAJA CALIFORNIA SUR,277t
BAJA CALIFORNIA SUR,278t
CAMPECHE,278t
DISTRITO FEDERAL,278t
CHIAPAS,278t
CHIHUAHUA,278t
COAHUILA DE ZARAGOZA,278t
MEXICO,278t
HIDALGO,278t
QUERETARO,278t
NAYARIT,278t
DURANGO,278t
GUERRERO,278t
MICHOACAN DE OCAMPO,278t
MORELOS,278t
TAMAULIPAS,278t
SINALOA,278t
VERACRUZ,278t
BAJA CALIFORNIA SUR,279t
DISTRITO FEDERAL,279t
CHIAPAS,279t
CHIHUAHUA,279t
MEXICO,279t
HIDALGO,279t
QUERETARO,279t
DURANGO,279t
MORELOS,279t
BAJA CALIFORNIA SUR,280t
BAJA CALIFORNIA SUR,281t
BAJA CALIFORNIA SUR,282t
BAJA CALIFORNIA SUR,283t
BAJA CALIFORNIA SUR,284t
BAJA CALIFORNIA SUR,285t
BAJA CALIFORNIA SUR,286t
BAJA CALIFORNIA SUR,287t
BAJA CALIFORNIA SUR,288t
BAJA CALIFORNIA SUR,289t
BAJA CALIFORNIA SUR,290t
BAJA CALIFORNIA SUR,291t
BAJA CALIFORNIA SUR,292t
BAJA CALIFORNIA SUR,293t
BAJA CALIFORNIA SUR,294t
BAJA CALIFORNIA SUR,295t
DURANGO,295t
BAJA CALIFORNIA SUR,296t
BAJA CALIFORNIA SUR,297t
BAJA CALIFORNIA SUR,298t
BAJA CALIFORNIA SUR,299t
BAJA CALIFORNIA SUR,300t
BAJA CALIFORNIA SUR,301t
BAJA CALIFORNIA SUR,302t
BAJA CALIFORNIA SUR,303t
BAJA CALIFORNIA SUR,304t
BAJA CALIFORNIA SUR,305t
BAJA CALIFORNIA SUR,306t
BAJA CALIFORNIA SUR,307t
BAJA CALIFORNIA SUR,308t
BAJA CALIFORNIA SUR,309t
BAJA CALIFORNIA SUR,310t
BAJA CALIFORNIA SUR,311t
BAJA CALIFORNIA SUR,312t
BAJA CALIFORNIA SUR,313t
DISTRITO FEDERAL,313t
CHIAPAS,313t
MEXICO,313t
QUERETARO,313t
GUANAJUATO,313t
YUCATAN,313t
OAXACA,313t
DURANGO,313t
MORELOS,313t
TAMAULIPAS,313t
SAN LUIS POTOSI,313t
TABASCO,313t
BAJA CALIFORNIA SUR,314t
BAJA CALIFORNIA SUR,315t
BAJA CALIFORNIA SUR,316t
BAJA CALIFORNIA SUR,317t
BAJA CALIFORNIA SUR,318t
BAJA CALIFORNIA SUR,319t
BAJA CALIFORNIA SUR,320t
BAJA CALIFORNIA SUR,321t
BAJA CALIFORNIA SUR,322t
BAJA CALIFORNIA SUR,323t
BAJA CALIFORNIA SUR,324t
BAJA CALIFORNIA SUR,325t
BAJA CALIFORNIA SUR,326t
BAJA CALIFORNIA SUR,327t
BAJA CALIFORNIA SUR,328t
BAJA CALIFORNIA SUR,329t
BAJA CALIFORNIA SUR,330t
BAJA CALIFORNIA SUR,331t
BAJA CALIFORNIA SUR,332t
BAJA CALIFORNIA SUR,333t
BAJA CALIFORNIA SUR,334t
BAJA CALIFORNIA SUR,335t
BAJA CALIFORNIA SUR,336t
BAJA CALIFORNIA SUR,337t
BAJA CALIFORNIA SUR,338t
BAJA CALIFORNIA SUR,339t
BAJA CALIFORNIA SUR,340t
BAJA CALIFORNIA SUR,341t
BAJA CALIFORNIA SUR,342t
BAJA CALIFORNIA SUR,343t
BAJA CALIFORNIA SUR,344t
BAJA CALIFORNIA SUR,345t
BAJA CALIFORNIA SUR,346t
BAJA CALIFORNIA SUR,347t
BAJA CALIFORNIA SUR,348t
BAJA CALIFORNIA SUR,349t
BAJA CALIFORNIA SUR,350t
BAJA CALIFORNIA SUR,351t
BAJA CALIFORNIA SUR,352t
BAJA CALIFORNIA SUR,353t
BAJA CALIFORNIA SUR,354t
DISTRITO FEDERAL,354t
VERACRUZ,354t
BAJA CALIFORNIA SUR,355t
BAJA CALIFORNIA SUR,356t
BAJA CALIFORNIA SUR,357t
BAJA CALIFORNIA SUR,358t
BAJA CALIFORNIA SUR,359t
BAJA CALIFORNIA SUR,360t
BAJA CALIFORNIA SUR,361t
BAJA CALIFORNIA SUR,362t
BAJA CALIFORNIA SUR,363t
BAJA CALIFORNIA SUR,364t
BAJA CALIFORNIA SUR,365t
BAJA CALIFORNIA SUR,366t
BAJA CALIFORNIA SUR,367t
BAJA CALIFORNIA SUR,368t
BAJA CALIFORNIA SUR,369t
BAJA CALIFORNIA SUR,370t
BAJA CALIFORNIA SUR,371t
BAJA CALIFORNIA SUR,372t
BAJA CALIFORNIA SUR,373t
BAJA CALIFORNIA SUR,374t
BAJA CALIFORNIA SUR,375t
BAJA CALIFORNIA SUR,376t
BAJA CALIFORNIA SUR,377t
BAJA CALIFORNIA SUR,378t
BAJA CALIFORNIA SUR,379t
BAJA CALIFORNIA SUR,380t
BAJA CALIFORNIA SUR,381t
BAJA CALIFORNIA SUR,382t
BAJA CALIFORNIA SUR,383t
BAJA CALIFORNIA SUR,384t
BAJA CALIFORNIA SUR,385t
BAJA CALIFORNIA SUR,386t
BAJA CALIFORNIA SUR,387t
BAJA CALIFORNIA SUR,388t
BAJA CALIFORNIA SUR,389t
BAJA CALIFORNIA SUR,390t
BAJA CALIFORNIA SUR,391t
BAJA CALIFORNIA SUR,392t
BAJA CALIFORNIA SUR,393t
BAJA CALIFORNIA SUR,394t
BAJA CALIFORNIA SUR,395t
BAJA CALIFORNIA SUR,396t
BAJA CALIFORNIA SUR,397t
BAJA CALIFORNIA SUR,398t
BAJA CALIFORNIA SUR,399t
BAJA CALIFORNIA SUR,400t
BAJA CALIFORNIA SUR,401t
BAJA CALIFORNIA SUR,402t
BAJA CALIFORNIA SUR,403t
BAJA CALIFORNIA SUR,404t
BAJA CALIFORNIA SUR,405t
BAJA CALIFORNIA SUR,406t
BAJA CALIFORNIA SUR,407t
BAJA CALIFORNIA SUR,408t
BAJA CALIFORNIA SUR,409t
BAJA CALIFORNIA SUR,410t
BAJA CALIFORNIA SUR,411t
BAJA CALIFORNIA SUR,412t
BAJA CALIFORNIA SUR,413t
BAJA CALIFORNIA SUR,414t
BAJA CALIFORNIA SUR,415t
BAJA CALIFORNIA SUR,416t
BAJA CALIFORNIA SUR,417t
BAJA CALIFORNIA SUR,418t
BAJA CALIFORNIA SUR,419t
BAJA CALIFORNIA SUR,420t
BAJA CALIFORNIA SUR,421t
BAJA CALIFORNIA SUR,422t
BAJA CALIFORNIA SUR,423t
BAJA CALIFORNIA SUR,424t
BAJA CALIFORNIA SUR,425t
BAJA CALIFORNIA SUR,426t
BAJA CALIFORNIA SUR,427t
BAJA CALIFORNIA SUR,428t
DISTRITO FEDERAL,428t
MEXICO,428t
HIDALGO,428t
DURANGO,428t
MORELOS,428t
TAMAULIPAS,428t
TABASCO,428t
VERACRUZ,428t
BAJA CALIFORNIA SUR,429t
BAJA CALIFORNIA SUR,430t
BAJA CALIFORNIA SUR,431t
BAJA CALIFORNIA SUR,432t
BAJA CALIFORNIA SUR,433t
BAJA CALIFORNIA SUR,434t
BAJA CALIFORNIA SUR,435t
BAJA CALIFORNIA SUR,436t
BAJA CALIFORNIA SUR,437t
BAJA CALIFORNIA SUR,438t
BAJA CALIFORNIA SUR,439t
BAJA CALIFORNIA SUR,440t
BAJA CALIFORNIA SUR,441t
BAJA CALIFORNIA SUR,442t
BAJA CALIFORNIA SUR,443t
BAJA CALIFORNIA SUR,444t
BAJA CALIFORNIA SUR,445t
BAJA CALIFORNIA SUR,446t
BAJA CALIFORNIA SUR,447t
BAJA CALIFORNIA SUR,448t
BAJA CALIFORNIA SUR,449t
BAJA CALIFORNIA SUR,450t
BAJA CALIFORNIA SUR,451t
BAJA CALIFORNIA SUR,452t
BAJA CALIFORNIA SUR,453t
BAJA CALIFORNIA SUR,454t
BAJA CALIFORNIA SUR,455t
BAJA CALIFORNIA SUR,456t
BAJA CALIFORNIA SUR,457t
BAJA CALIFORNIA SUR,458t
BAJA CALIFORNIA SUR,459t
BAJA CALIFORNIA SUR,460t
BAJA CALIFORNIA SUR,461t
BAJA CALIFORNIA SUR,462t
BAJA CALIFORNIA SUR,463t
BAJA CALIFORNIA SUR,464t
BAJA CALIFORNIA SUR,465t
BAJA CALIFORNIA SUR,466t
BAJA CALIFORNIA SUR,467t
BAJA CALIFORNIA SUR,468t
BAJA CALIFORNIA SUR,469t
BAJA CALIFORNIA SUR,470t
BAJA CALIFORNIA SUR,471t
BAJA CALIFORNIA SUR,472t
BAJA CALIFORNIA SUR,473t
BAJA CALIFORNIA SUR,474t
BAJA CALIFORNIA SUR,475t
BAJA CALIFORNIA SUR,476t
BAJA CALIFORNIA SUR,477t
BAJA CALIFORNIA SUR,478t
BAJA CALIFORNIA SUR,479t
BAJA CALIFORNIA SUR,480t
BAJA CALIFORNIA SUR,481t
BAJA CALIFORNIA SUR,482t
BAJA CALIFORNIA SUR,483t
BAJA CALIFORNIA SUR,484t
BAJA CALIFORNIA SUR,485t
BAJA CALIFORNIA SUR,486t
BAJA CALIFORNIA SUR,487t
BAJA CALIFORNIA SUR,488t
BAJA CALIFORNIA SUR,489t
BAJA CALIFORNIA SUR,490t
BAJA CALIFORNIA SUR,491t
BAJA CALIFORNIA SUR,492t
BAJA CALIFORNIA SUR,493t
BAJA CALIFORNIA SUR,494t
BAJA CALIFORNIA SUR,495t
BAJA CALIFORNIA SUR,496t
BAJA CALIFORNIA SUR,497t
BAJA CALIFORNIA SUR,498t
BAJA CALIFORNIA SUR,499t
BAJA CALIFORNIA SUR,500t
BAJA CALIFORNIA SUR,501t
BAJA CALIFORNIA SUR,502t
BAJA CALIFORNIA SUR,503t
BAJA CALIFORNIA SUR,504t
BAJA CALIFORNIA SUR,505t
