Nombre_Tienda,Id_Tienda
CREMERIA Y SALCHICHONERIA LA HIGIENICA Y/O ISMAEL CASTAÐEDA VILLALPANDO,2682t
TIENDAS COMERCIAL MEXICANA  S.A. DE C.V. (CITY MARKET),2683t
ABARROTES VINOS Y LICORES LA MALAGA,2684t
ABARROTES VINOS Y LICORES LA COLONIA Y/O VICENTE NUÐEZ CASAS,2685t
ABARROTES VINOS Y LICORES CASA GUZMAN,2686t
ABARROTES JIMENA Y/O JOSE MANUEL GONZALEZ GOMEZ,2687t
TIENDAS COMERCIAL MEXICANA S.A DE C.V. Y/O  SUMESA SUC. COLIMA,2688t
NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.  Y/O  BODEGA AURRERA,2689t
NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V. (SAMS),2690t
GRUPO COMERCIAL  CONTROL  S.A. DE C.V.   (WOOLWORTH),2691t
CADENA COMERCIAL OXXO,2692t
7 ELEVEN DE MEXICO  S.A. DE C.V.,2693t
DISTRIBUIDORA FOTOGRAFICA FAYRUZ Y/O JORGE ALBERTO FLORES ACOSTA,2694t
ABARROTES LA LUCHA Y/O MARINA ENRIQUEZ HERNANDEZ,2695t
ABARROTES ELENITA    Y/O   PETRA ORTEGA TAPIA,2696t
CREMERIA MAGOS Y/O MARCO ANTONIO GARCIA BARRERA,2697t
CASA SAN MARTIN Y/O ENRIQUE CARDENAS PEREDA,2698t
FERREMISTERIOS Y/O JORGE ARTURO CAMPERO MALO,2699t
MCT MISTERIOS Y/O ALBERTO LUIS CALDERON MARTINEZ,2700t
EL PAVOREAL Y/O GEORGINA RAQUEL TAPIA SANCHEZ,2701t
TLAPALERIA ADRIANA,2702t
EL CHUPON VINOS Y LICORES,2703t
LOS AGAVEROS,2704t
ABARROTES VINOS Y LICORES LOS 7 BARRIOS,2705t
VINOS Y LICORES IVONNE Y/O ISRAEL SALINAS PINEDA,2706t
DISTRIBUIDORA MS Y/O SOCORRO CRUZ MARTINEZ,2707t
BELA PRIME  S.A. DE C.V.,2708t
CARRUSEL Y/O PIOMBINO  S.A. DE C.V.,2709t
QI ZHU,2710t
NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V. (BODEGA AURRERA),2711t
MATERIALES Y ELECTRICOS EMSA  S.A. DE C.V.,2712t
FERRETERIA   MI BODEGA  Y/O MELECIO MARTINEZ JASSO,2713t
FERRETEROS UNIDOS  S.A. DE C.V.,2714t
LOS PICOS DE EUROPA Y/O PERLA REBECA GOMEZ REYES,2715t
FERRETERIA Y TLAPALERIA CAMARONES,2716t
TLAPALERIA SAN FELIPE,2717t
FERRETERIA Y TLAPALERIA POSADAS,2718t
COMERCIAL SUPER ALIANZA  S. A. DE C. V.,2719t
COMERCIAL SUPER ALIANZA  S.A. DE C.V.  A EN P,2720t
NOVEDADES GABY Y/O JAVIER VITE REYES,2721t
NOVEDADES LOS ARCOS Y/O KARIM ANTONIO REZC GUTIERREZ,2722t
NOVEDADES JHONNY  Y/O CECILIA GODINEZ GARCIA,2723t
UNIFORMES ESCOLARES LA TERESITA,2724t
REAL COCO,2725t
BONETERIA ANGELITA,2726t
IMPORTACIONES EMY YUAN  S.A. DE C.V.,2727t
COMERCIAL SUPER ALIANZA  S.A. DE C.V. Y/O LA ARAGONESA,2728t
MULTIBONETERIA  S.A. DE C.V.,2729t
SANTA CLARA MERCANTIL DE PACHUCA   S. DE RL DE CV..,2730t
ALIMENTOS LA CONCORDIA  S.A. DE C.V.,2731t
ABARROTES  BUCAM   Y/O GUILLERMO RICARDO BUENDIA CAMPOS,2732t
LA PRINCIPAL,2733t
DISTRIBUIDORA SAN ALBERTO  S.A. DE C.V.,2734t
NIKY Y/O YELIDAN S.A. DE C.V.,2735t
EL MUNDO MAGICO,2736t
NAUTIACS  S.A. DE C.V.,2737t
LICONSA   S.A. DE C.V.,2738t
INTEGRACIONES PARA LA SALUD VISUAL  S.A. DE C.V.,2739t
FERRETERIA Y HERRAJES LA BALLENA  S.A. DE C.V.,2740t
ABARROTES VINOS Y LICORES LA POPULAR,2741t
ABARROTES VINOS Y LICORES EL MILAGRO,2742t
VINOS Y LICORES LA VASCO Y/O MIGUEL ROMERO SANTOS,2743t
ABARROTES VINOS Y LICORES LA CAVA DE MANZA,2744t
ABARROTES VINOS Y LICORES MINI SUPER EL CARRO,2745t
BOUTIQUE PARADISE Y/O MARIA DEL CARMEN GOZALEZ SOTO,2746t
FERRETERIA LAS MINAS Y/O MARIA GUADALUPE ORGANISTA CARDENAS,2747t
MC COSTURA  S.A. DE C.V.,2748t
UNION DE PRODUCTORES DE LECHE DE QUERETARO S.A. DE C.V.,2749t
FERRE NAVA Y/O JOSE MARIO LECHUGA BRAMBILA,2750t
COMERCIAL SUPER ALIANZA  S.A. DE C.V.  Y/O ABARROTES LUPITA,2751t
COSAS BONITAS Y/O PERLA XOCHITL ROMERO ROMERO,2752t
YUNION  S.A. DE C.V.,2753t
COMERCIALIZADORA IMPORTADORA Y EXPORTADORA VOMAC  S.A. DE C.V.,2754t
TLAPALERIA EL SURTIDOR Y/O NIZARET CID DEL PRADO RENDON,2755t
EL IMAN DE NARVARTE  S.A. DE C.V.,2756t
TLAPALERIA MARTHA Y/O RODOLFO MARTIN RODRIGUEZ LOPEZ,2757t
TLAPALERIA Y FERRETERIA PORTALES,2758t
TLAPALERIA Y FERRETERIA NUEVO PORVENIR Y/O ADELA APARICIO VALADEZ,2759t
FERRETERIA PUEBLA Y/O ERIKA GLORIA VARGAS ESTRADA,2760t
TLAPALERIA Y FERRETERIA SERVICIO ZARATE,2761t
CASA ALONSO Y/O HUGO GARCIA BELLO,2762t
CANDY COLLECTION  Y/O FELIPE CARDENAS MACIEL,2763t
REGALOS Y JUEGOS DE MESA CAMILA,2764t
NOVEDADES YANET Y/O ULISES LOZANO  MATA,2765t
ABARROTES VINOS Y LICORES LA TOLUQUEÐA Y/O JOSE MAYA ALCANTARA,2766t
VINOS Y LICORES QUERENCIA Y/O HUGO RAMIREZ UGARTE,2767t
VINOS Y LICORES LA ESTRELLA  Y/O ROGELIO SOTO CASTRO,2768t
ABARROTES VINOS Y LICORES LA GRANJA  Y/O BEATRIZ OJEDA RIVERA,2769t
ELECTRICA EL 45   S.A. DE C.V.,2770t
COMERCIAL HISPANA  S. DE R.L. DE C.V.,2771t
MATERIAS PRIMAS SIN NOMBRE Y/O MARCELINO MARQUEZ VAZQUEZ,2772t
MUSIC CLUB INTERNATIONALS  S. DE R.L. DE C.V.,2773t
RICARDO ALFREDO MENDOZA VELASCO,2774t
BIJOUDERS Y/O ELENA DERSDEPANIAN SHIRINIAN,2775t
MUSICAL 55 Y/O DISTRIBUIDORA MUSICAL INTERNACIONAL  S.A. DE C.V.,2776t
BE-BELEN Y/O NADER JACOBO GEORGES ANTOINE,2777t
ABARROTES LA GAVIA Y/O HERNANDEZ RAMIREZ FRANCISCA,2778t
ABARROTES VINOS Y LICORES LA NUEVA  Y/O MAURICIO REBOLLAR MARTINEZ,2779t
VINOS Y ABARROTES LA ASTURIANA I  Y/O GUADALUPE MATEO FLORES,2780t
VINOS Y LICORES EL VENADO AZUL,2781t
ABARROTES VINOS Y LICORES EL PORVENIR Y/O MA. DEL REFUGIO NAJERA GARCIA,2782t
ABARROTES VINOS Y LICORES CASA RODRIGUEZ   Y/O RODRIGUEZ GARCIA RUBEN,2783t
ABARROTES LA CHIQUITITA Y/O ERIC MUÐOZ ROJAS,2784t
ABARROTES EL 13 Y/O JOSE GUADALUPE MONTIEL GERARDO,2785t
MINISUPER DOS ESTRELLAS Y/O VICTOR JULIAN DOLORES CASTRO,2786t
HIP-HOP Y/O JIAN XING FANG,2787t
BLUSAS YIITONG Y/O LIIJI HONG,2788t
VINOS Y LICORES DEL ROSAL Y/O ALFONSO SALINAS CHAVEZ,2789t
GRUPO SAN JACINTO  S.A. DE C.V.,2790t
SCHREIBER MEXICO  S.A. DE C.V.,2791t
LECHERA GUADALAJARA  S.A. DE C.V.,2792t
LINAT  S.A. DE C.V. Y/O A&B BRANTZ,2793t
FERRETERIA JUAN MARIN  S.A.,2794t
FERRETERA RIO PISUEÐA  S.A. DE C.V.,2795t
DURAN DOMINGUEZ SABAS  Y/O ABARROTES VINOS Y LICORES,2796t
ABARROTES VINOS Y LICORES EL PATITO Y/O JOSE GARCIA SANCHEZ,2797t
VINOS Y LICORES MAFALDA  Y/O  ISMAEL RIVERO TOLENTINO,2798t
ABARROTES VINOS Y LICORES GIBRAN,2799t
SUPER ABARROTES LA VICTORIA S.A. Y/O TIENDAS ALIANZA,2800t
VINATERIA LA CHIQUITA Y/O LILIANA NIEVES MOLINA SANTILLAN,2801t
ABARROTES VINOS Y LICORES LAS QUINCE LETRAS,2802t
ABARROTES VINOS Y LICORES  EL ANGEL,2803t
LECHE LA ESCONDIDA  Y/O  LACTO MARK S.A. DEC.V.,2804t
CREMERIA LA PASTORA  S.A. DE C.V.,2805t
DANONE DE MEXICO  S.A. DE C.V,2806t
PRODUCTOS LACTEOS BLANQUITA  S.A. DE C.V.,2807t
PASTEURIZADORA DE LEON S.A. DE C.V.,2808t
MAMACONEJA Y/O CARLOS DELGADO DE LUNA,2809t
GONZALEZ BECVERRA JOSE FEDERICO ROBERTO,2810t
TLAPALERIA Y FERRETERIA LA MUNDIAL,2811t
HI TECH AUDIO Y/O HI TECH AUDIO  S.A. DE C.V.,2812t
ABARROTES VINOS Y LICORES SUPER CORUÐA,2813t
ABARROTES VINOS Y LICORES BETITO,2814t
VINOS Y LICORES LA PALOMA Y/O GLORIA GUZMAN PANTOJA,2815t
TIENDAS DE DESCUENTO DE LA CENTRAL  S.A.  DE C.V.,2816t
ABARROTES LA MICHOACANA  Y/O  AURELIA FUENTES GONZALEZ,2817t
ABARROTES VINOS Y LICORES LA COLMENA,2818t
ABARROTES VINOS Y LICORES ANDINA Y/O IVONNE YADIRA MORAN TOLEDO,2819t
ANA LAURA PLATA PEREZ  Y/O ABARROTES DANYARI,2820t
ABARROTES VINOS Y LICORES LA NORTEÐA,2821t
PASTEURIZADORA  AGUASCALIENTES  S.A. DE C.V.,2822t
CREMERIA AGUASCALIENTES  S.A. DE C.V.,2823t
GRUPO INDUSTRIAL CUADRITOS BIOTEK S.A. DE C.V.,2824t
COMERCIALIZADORA RAPIFRUIT  S.A. DE C.V.,2825t
CALKINS BURKE AND ZANNIE DE MEXICO  S.A. DE C.V.,2826t
SIEMPRE POSITIVO  S.A. DE C.V.,2827t
TLPALERIA EL DESPACHO Y/O ARMANDO AMBRIZ,2828t
TLAPALERIA S/N Y/O ROBERTO TRUPP HERNANDEZ,2829t
TLAPALERIA CASA ROCIO Y/O LUCINA MENDOZA GONZALEZ,2830t
NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V. (SUPERAMA),2831t
WALDO?S DOLAR MART DE MEXICO  S. DE R.L. DE C.V.,2832t
ABARROTES VINOS Y LICORES EL OSO  Y/O TOVAR MEDINA JORGE ADRIAN,2833t
ABARROTES VINOS Y LICORES PEPES,2834t
VINATERIA EL MILAGRO Y/O MOISES DIAZ ROBLERO,2835t
ABARROTES VINOS Y LICORES TARASCO Y/O IRMA JULIETA MARTINEZ COELLO,2836t
ABARROTES VINOS Y LICORES VICK,2837t
ABARROTES Y VINOS LAS 3 COLONIAS Y/O LUIS MACIAS RODRIGUEZ,2838t
ABARROTES VINOS Y LICORES PLATEROS ,2839t
ABARROTES VINOS Y LICORES LA VICTORIA,2840t
ABARROTES VINOS Y LICORES SUPER SIX,2841t
NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V. ( BODEGA AURRERA ),2842t
ABARROTES VINOS Y LICORES  DIANA  Y/O JUAN HUMBERTO DE LUNA,2843t
VINOS Y LICORES MARYSOL Y/O ALEJANDRA GUADALUPE GUTIERREZ,2844t
TIENDAS COMERCIAL MEXICANA  S.A. DE C.V. (BODEGA),2845t
FANTASIAS Y NOVEDADES JHOSSY,2846t
ACUPRODUCTOS VALLE Y/O RAFAEL VALLE FLORES,2847t
TLAPALERIA PLATEROS,2848t
ABARROTES VINOS Y LICORES DJAIME   Y/O ADRIAN JAIME VELAZQUEZ LECHUGA,2849t
CREMERIA MARGARITAS  S.A. DE C.V.,2850t
DERIVADOS DE LECHE LA ESMERALDA  S.A. DE C.V.,2851t
COMERCIALIZADORA DE OCCIDENTE  S.A. DE C.V.,2852t
TLAPALERIA SIN NOMBRE Y/O HERMINIO GUTIERREZ PRADO,2853t
TLAPALERIA Y FERRETERIA LA CUMBRE Y/O DIANA MARTINEZ CHAVARRIA,2854t
NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V. (SAMS CLUB),2855t
TIENDAS COMERCIAL MEXICANA  S.A. DE C.V. (MEGA COMERCIAL),2856t
TIENDAS COMERCIAL MEXICANA  S.A. DE C.V. Y/O BODEGA AGUASCALIENTES CASA BLANCA,2857t
ALIMENTOS LA CONCORDIA S.A DE C.V,2858t
ARTE NATURAL SHARON  S.A. DE C.V.,2859t
TIENDAS CHEDRAUI S. A. DE C. V.,2860t
NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V. Y/O SUPERAMA,2861t
BIJOUDERS Y/O DERSDE PANIAN SHIRINIAN ELENA,2862t
RIDER BEST Y/O SHUMMING MA,2863t
NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V. (BODEGA AURRERA EXPRESS),2864t
TIENDA DE ABARROTES LA MODERNA   Y/O  ARTURO LUNA ALTAMIRANO,2865t
DEPORTES MARTI  S. A. DE C. V.,2866t
LLANTERA ROMA  S.A. DE C.V.   Y/O   RICARDO VILLANUEVA SERRATOS,2867t
ABARROTES LA UNION Y/O RUTILIO BAUTISTA BAUTISTA,2868t
OUTLET DEPORTES,2869t
STRADIVARIUS Y/O STRADIVARIUS MEXICO  S.A. DE C.V.,2870t
OPERADORA DE TIENDAS EXCLUSIVAS  S.A. DE C.V.,2871t
CALZADOS DEL MUNDO  S.A. DE C.V.  Y/O  FLEXI,2872t
ZAPATERIA EL GOLPE Y/O OLGA SACAL KIBRIT,2873t
VARANNI DE MEXICO  S.A. DE  C.V.   Y/O DOROTHY GAYNOR,2874t
NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V. (AURRERA EXPRESS),2875t
DEPORTES MARTI  S.A. DE C.V.,2876t
OYSHO MEXICO  S.A. DE C.V.,2877t
WEST-MEX  S.A. DE C.V.  Y/O NINE WEST,2878t
COMERCIAL PADICO  S.A. DE C.V. Y/O ABARROTES PARIS,2879t
COMERCIAL PAPICO  S.A. DE C.V.,2880t
TIENDA DE ABARROTES NETO Y/O TIENDA SUPER PRECIO  S.A. DE C.V.,2881t
ABARROTES MI MERCADITO,2882t
DEPORTES MARTI  S.A. DE C.V. Y/O   MARTI NIKE,2883t
DEPORTES MARTI S. A. DE C. V. Y/O RUN FREAKS,2884t
VENIDAMA  S.A. DE C.V. Y/O MAMA MIA,2885t
COMERCIAL EMYCO  S.A. DE C.V.,2886t
NINE WEST Y/O WEST-MEX  S.A. DE C.V.,2887t
GRUPO EMPRESARIAL ZAPATERO  S.A. DE C.V.  Y/O RUDOS,2888t
GRUPO ZORRO ABARROTERO S.A. DE C.V.,2889t
ABARROTES ELSA,2890t
DEPORTES MARTI  S. A. DE C. V.    Y/O   JORGE CORREA,2891t
1ST AND 10 Y/O VICTOR SALVADOR RUBIO FIGUEROA,2892t
OPERADORA LOB  S.A. DE C.V. Y/O LOB WORLD CLOTHING,2893t
SERVICIOS SHASA  S. DE R.L. DE C.V.  Y/O  SHASA,2894t
ZAPATERIAS KARELE  S.A. DE C.V.,2895t
COSMETICOS Y BELLEZA GIOVANNA,2896t
BOLSAS PALOMA Y/O DAMARIS PALOMA GUTIERREZ GARRIDO,2897t
CREACIONES ROSY,2898t
FRANCEL,2899t
ROSA ZONANA TOTAH,2900t
COSMETICOS Y NOVEDADES MASAI,2901t
COMERSIALIZADORA MEDSOL  S.A. DE C.V.,2902t
LENCERIA Y CORCETERIA SEXY LEL,2903t
ARTICULOS DE BELLEZA CECI Y/O JORGE CARBAJAL SANCHEZ,2904t
BODEGA DE LLANTAS PORTALES  S.A. DE C.V.,2905t
LLANTAS NONOALCO  S.A. DE C.V.,2906t
INDUSTRIAL DE HERRAMIENTAS  S.A. DE C.V.,2907t
FERRETERIA LA LIBRA S.A DE C.V.,2908t
PAPELERIA ESCOLAR Y/O JOSE RODRIGO REYES BARRERA,2909t
TLAPALERIA ALVAREZ,2910t
TLAPALERIA  LUNA ,2911t
VENTA DE PLOMERIA ANAHUAC,2912t
ABARROTES NAZARETH Y/O JULIO CESAR SUAREZ HERNANDEZ,2913t
ABARROTES FRUTILANDIA   Y/O  JOSE DE JESUS AMBRIZ MARQUEZ,2914t
SUPER ABARROTES LA ESTACION  S.A.,2915t
ADIDAS DE MEXICO  S.A. DE C.V.,2916t
EXIMPOREE  S.A. DE C.V.,2917t
FABRICA DE ARTICULOS DEPORTIVOS  S.A. DE C.V.,2918t
GRUPO JULIO  S.A. DE C.V.,2919t
CALZADO SANDAK  S.A. DE C.V. Y/O PICN PAY SHOES,2920t
YIWU IMPORTACION  S.A. DE C.V.,2921t
IMPORTADORA JHOSSY  S.A. DE C.V. Y/O FANTASIAS EL SOL,2922t
TIAN SE FANG,2923t
NUEVA WAL MART DE MEXICO   S. DE R.L. DE C.V. Y/O SUPERAMA,2924t
TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.  (BODEGA COMERCIAL MEXICANA),2925t
TIENDAS SORIANA  S.A. DE C.V. (MERCADO SORIANA),2926t
NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.    (SAMS CLUB),2927t
IMPULSORA CIRCULO CCK  S.A. DE C.V.,2928t
TIENDAS TRES B  S.A DE C.V.,2929t
TECNI-LLANTAS DE MEXICO  S.A. DE C.V.,2930t
MULTIPLASTICO Y HERRAJES EL ANGEL Y/O RODRIGO OVIEDO RANGEL,2931t
LAIHLOO  S.A DE C.V.,2932t
FASHION BIBI Y/O BEHTZABE BARRIOS LOPEZ,2933t
EL CAZADOR COMERCIAL ABARROTERO S..A DE C.V.   Y/O EL ZORRO,2934t
DEPORTES MARTI  S.A. DE C.V. Y/O NIKE GRAN SUR,2935t
CASA RIVERA,2936t
CHEAP SHOES  S.A. DE C.V.,2937t
ANTONIA GONZALEZ SANDOVAL,2938t
NOVEDADES ORNELAS Y/O JAIR DE JESUS RAMIREZ ORNELAS,2939t
JINGSHENG YU,2940t
NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.    (BODEGA AURRERA),2941t
JASMAN AUTOMOTRIZ  S.A DE C.V.,2942t
LLANTAS MODERNAS  S.A.,2943t
GENERAL HAESA  S.A DE C.V.,2944t
RUEDAS RADIAL  S.A DE C.V.,2945t
DISPERSIONES DE MEXICO  S.A. DE C.V.,2946t
TLAPALERIA SAN RAFAEL,2947t
LA 5 LUZ Y/O IMPORTADORA DE ILUMINACION Y DECORACION  S.A. DE C.V.,2948t
FERRE-JIM Y/O FEDERICO JIMENEZ GUZMAN,2949t
TODO PARA SU BEBE Y/O JULIA ADRIANA JUAREZ GARCIA,2950t
ZAPATERIA FLORENCIA Y/O  CRISTIAN JERONIMO MARTINEZ,2951t
CASA TONY Y/O GEORGES ASRAOUI CHAHINE,2952t
MODAS SUSY  Y/O GABRIELA MUÐOZ MARTINEZ,2953t
CITY MARKET Y/O TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.,2954t
DUO XUAN COMERCIALIZADORA  S.A. DE C.V.,2955t
COSMETICOS HERMANOS RAMIREZ Y/O ESTEBAN RAMIREZ ENRIQUE,2956t
FERRETERA ACATITLA  S.A. DE C.V.,2957t
ABARROTES VINOS Y LICORES JULIETTE,2958t
SANCHEZ TELLO MARIA DE LOS ANGELES,2959t
JAKEU LRIN    S.A. DE C.V.,2960t
BE SEXY Y/O COMERCIALIZADORA BEILEISI  S.A. DE C.V.,2961t
NOVEDADES JASDHE Y/O ANTONIA HERNANDEZ PEREZ,2962t
DISTRIBUIDORA MANRO  S.A. DE C.V.,2963t
POLYLLANTAS Y SERVICIOS S.A. DE C.V.,2964t
DISTRIBUIDORA Y COMERCIALIZADORA HALCON  S.A. DE C.V.,2965t
ABARROTES DJUAN Y/O JUAN JOSE MENDEZ GUERRERO,2966t
ABARROTES LA VENTANITA Y/O GREGORIO TOVAR SILVESTRE,2967t
ASIA JEWELRY  Y/O GRUPO JIAN YUAN DA  S.A. DE C.V.,2968t
CELEBRITY 21  S.A. DE C.V.,2969t
ABARROTES VINOS Y LICORES LA BLANQUITA,2970t
ABARROTES VINOS Y LICORES EL 7 ROJO,2971t
ABARROTES TERUEL  S.A.,2972t
SUPER ABARROTES LA CIENEGA  S.A. Y/O ALIANZA VERTIZ,2973t
ABARROTES MAGALY   Y/O ROSA MA. PALACIOS DIAZ,2974t
ABARROTES MAGDA Y/O CATALINA REYMUNDO CASTRO,2975t
ABARROTES VINOS Y LICORES LA PERLA Y/O FRANCISCO LEAL VELAZQUEZ,2976t
FERREFLU  S.A. DE C.V.,2977t
RUIZ GONZALEZ JAVIER ARMANDO,2978t
TLAPALERIA EL FARO Y/O MIGUEL ANGEL SANCHEZ BEJAR,2979t
TLAPALERIA Y FERRETERIA LA MASCOTA,2980t
TLAPALERIA A MI REGRESO,2981t
TLAPALERIA Y PINTURAS MERMANOL,2982t
TLAPALERIA CASA RAFAEL,2983t
TLAPALERIA EL COMETA Y/O GONZALO TOLEDO GALVEZ,2984t
TLAPALERIA  Y FERRETERIA EL SURTIDOR,2985t
LIBRADO MENDEZ ALONSO,2986t
ABARROTES VINOS Y LICORES LA CHIQUITITA  Y/O GOMEZ  JIMENEZ VERONICA DEL CARMEN,2987t
LA BODEGA DE SALGADO S.A. DE C.V.,2988t
ABARROTES EL MUNDO DE FLORES Y/O COMERCIAL PADICO  S.A. DE C.V.,2989t
ABARROTES LA VICTORIA Y/O BEJAMIN MENDEZ ZAMORANO,2990t
ABARROTES Y VINOS 18 DE MARZO Y/O MARTIN DOMINGUEZ RESENDIZ,2991t
ABARROTES VINOS Y LICORES LA ESPERANZA,2992t
ABARROTES UNICORNIO Y/O TERESA  VALENCIA LOPEZ,2993t
GRUPO JOMOAR S.A. DE C.V.,2994t
SUPER ABARROTES LA VICTORIA  S.A.,2995t
SUPERANDA  S.A. DE C.V.,2996t
ABARROTES SAN JORGE Y/O GARCIA HERNANDEZ ANA LILIA,2997t
ABARROTES VINOS Y LICORES MONICA  Y/O  ANTONIO HERNANDEZ CRUZ,2998t
ABARROTES VINOS Y LICORES LA UNIVERSAL Y/O  RAUL ANTONIO FLORES GARCIA,2999t
VINOS Y LICORES EL GALLO Y/O ANAYA SUAREZ JOSE MANUEL,3000t
HERRAMIENTAS Y TORNILLOS UNIVERSALES S.A DE C.V.,3001t
DISTRIBUIDORA TEVAR  S.A. DE C.V.,3002t
FERRETERIA Y TLAPALERIA ROSALLY  Y/O JORGE MENDOZA PEREZ,3003t
HERRAMIENTAS SANTOS,3004t
ABARROTES EL COFRE Y/O MARIA DE LOURDES HERRERA PEREZ,3005t
ABARROTES VINOS Y LICORES LA VILLA DE CUAUHTEMOC,3006t
COMERCIALIZADORA AZTAHUACAN  S.A DE C.V.,3007t
ABARROTES VINOS Y LICORES LA CRIOLLA  Y/O  ANGELINA RAMIREZ GARCIA,3008t
ABARROTERA GASCON  S.A.,3009t
EL PROVEEDOR  Y/O ALBARRAN CASTILLO ELIZABETH,3010t
TLAPALERIA EL PORVENIR  Y/O MARTHA FRIAS QUEVEDO,3011t
TLAPALERIA ALVAREZ HERMANOS Y/ GUSTAVO ALVAREZ SANCHEZ,3012t
TLAPALERIA Y FERRETERIA GENERAL,3013t
FERRECABALLERO S.A. DE C.V.,3014t
ACOSTA DE LA TORRE  S.A. DE C.V.,3015t
TLAPALERIA Y FERRETERIA LA NUEVA CHIMEQUITA,3016t
TLAPALERIA Y FERRETERIA CECY,3017t
MODA INFANTIL JUANITA Y/O HORTENCIA PEREZ CORNEJO,3018t
FANTASIAS BIBIS Y/O MARIA DEL CARMEN GONZALEZ HERNANDEZ,3019t
LA MERCANTIL PELETERA  S.A. DE C.V.,3020t
LA ESTRELLA DE LA BELLEZA  S.A. DE C.V.,3021t
CHUCHERIAS CHUCHO  S.A. DE C.V. Y/O DE TODO PARA TODOS,3022t
GRUPO IMPORTADOR Y EXPORTADOR JULIOS SA DE CV Y/O FANTASIAS Y NOVEDADES JULIETT,3023t
ABARROTES VINOS Y LICORES EL COMETA,3024t
ABARROTES VINOS Y LICORES LA HORMIGA Y/O HAZAEL RIZIERE MORGADO,3025t
ABARROTES VINOS Y LICORES LOS ANGELES,3026t
ABARROTES ARAGON  S.A. (SUCURSAL LA UNION),3027t
ABARROTERA GASCON Y/O COMERCIAL SUPER ALIANZA  S.A.D E C.V.,3028t
ABARROTES  VINOS Y LICORES LA  MONTAÐA  Y/O ROGELIO SOTO CASTRO,3029t
ABARROTES VINOS Y LICORES LA OAXAQUEÐA,3030t
LIZBETH GONZALEZ MARTINEZ Y/O ABARROTES SUPER,3031t
ABARROTES  EL SUPER MEXICANO Y/O JUAN CRUZ CRUZ,3032t
ABARROTES   VINOS Y LICORES LA LUZ Y/O JOSE DEMETRIO GOZALEZ RIVEROS,3033t
EL NIVEL,3034t
AMERICA,3035t
TLAPALERIA MARIA CATALINA GONZALEZ LARA,3036t
EL SURTIDOR DE OBSERVATORIO  S.A. DE C.V.,3037t
FERRETERIA TREJO Y/O MARIA LUISA TREJO RUBIO,3038t
FERRETERIA MURAKAMI  S.A. DE C.V.,3039t
TORNILLOS LA LOMA   Y/O EPIFANIA MARIA REYES LEON,3040t
FERRETERIA VIMO  S.A.,3041t
PAPELERA PRINCIPADO  S.A. DE C.V.,3042t
WA WA QIV  S.A. DE C.V.,3043t
ESTHER SIBLES Y/O QUODAM  S. DE R.L. DE C.V.,3044t
MATERIALES Y PRODUCTOS DE CALIDAD PASCUA,3045t
CASA PONCHITO,3046t
NOVEDADES TONY  Y/O RAMON RAMON JOSEFA,3047t
LANQING ZHOU,3048t
VALI,3049t
COMERCIALIZADORA LEVIAR  S.A DE C.V.,3050t
ABARROTES VINOS Y LICORES MIGUEL Y/O JOSE MANUEL MORALES OSORIO,3051t
ABARROTES VINOS Y LICORES LA REFORMA,3052t
ABARROTES VINOS Y LICORES ANDI,3053t
LA SURTIDORA DE COYOACAN Y/O BODEGA ALIANZA,3054t
LA NUEVA CASA LALO Y/O SUPER ABARROTES LA CIENEGA  S.A.,3055t
ABARROTES Y VINOS LA UNION   Y/O NORMA CONTRERAS SERRANO,3056t
ABARROTES VINOS Y LICORES LA SIRENITA,3057t
ABARROTES LA CRUZ Y/O NAVA PANTALEON MARIA DE JESUS,3058t
TLAPALERIA  LA GUADALUPANA,3059t
FERRETERA MAYCO  S.A. DE C.V.,3060t
FERRETERIA FARO Y/O RODRIGUEZ HERNANDEZ EMELIA,3061t
PAPELES  S.A.,3062t
TLAPALERIA LA VENCEDORA Y/O HECTOR PINEDA CEDILLO,3063t
BONETERIA DAYANA Y/O ILDELFONSO ARIAS VELAZQUEZ,3064t
NOVEDADES YULY,3065t
UNO UNO UNO  S.A. DE C.V.,3066t
CHICOKA,3067t
BEATRIZ REYES GUTIERREZ,3068t
VINOS Y ABARROTES SAN PEDRO Y/O MARIA DEL REFUGIO MARTINEZ ALVAREZ,3069t
ABARROTES VINOS Y LICORES EL CORREO DEL COMERCIO,3070t
LA PROVIDENCIA Y/O GERARDO RUIZ FERNANDEZ,3071t
VINOS Y LICORES  LAS VEGAS,3072t
TLAPALERIA Y FERRETERIA FUJI,3073t
TLAPALERIA LIBRA Y/O ELIZABETH CRUZ AUSTRIA,3074t
