Nombre_Tienda,Id_Tienda
CASA CHAPA,220t
MERCADO PARIS,221t
ABARROTES NANCY,222t
MERCADO MONTES,223t
ABARROTES SALVATIERRA,224t
ABARROTES COSIO,225t
CARNICERIA TIJUANA Y/O GUSTAVO REYES CANIZALES,226t
DULCERIA LA PIÑATA,227t
DULCERIA VILLA NUEVAS,228t
DULCERIA LA  CANASTA,229t
DULCERIA JUNIOR,230t
COMERCIALIZADORA KIN,231t
BAJAS JEWELS,232t
CREACIONES JOYERIA PADILLA,233t
ALEXANDER JOYEROS,234t
JOYERIA GEMA,235t
JOYERIA Y REGALOS MONTE CARLO,236t
HILTON JOYERIAS,237t
JOYERIA MONTECARLO,238t
JOYERIA SANDOVAL,239t
EL TRIUNFO,240t
MERCADO Y CARNICERIA LA FIESTA,241t
MERCADO EL AVENTURERO,242t
CAMPOS REYEROS Y CIA S.A. DE C.V. Y/O COMEX,243t
PASSARELA Y/O LUZ INES DE LA TOBA AMADOR,244t
ANGELA GUADALUPE ANAYA GOROSAVE Y/O COMPANY STORE NIÑAS,245t
OXXO CAMINO REAL Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,246t
OXXO ARCOIRIS Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,247t
OXXO ESMERALDA Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,248t
OXXO PINO PALLAS Y/O CADENA COMERCIAL OXXO S.A. DE C.V.,249t
OXXO AYUNTAMIENTO Y/O CADENA COMERCIAL OXXO S.A. DE C.V.,250t
OXXO ATARDECERES Y/O CADENA COMERCIAL OXXO S.A. DE C.V.,251t
DULCEROS DE BAJA CALIFORNIA SUR  S.A. DE C.V. Y/O BODEGON DULCERO,252t
LA RANITA DISTRIBUCIONES S. DE R.L. DE C.V. Y/O EL DESCONTON,253t
LURAIMA  S.A. DE C.V. (DULCERIA LA CONEJA),254t
LA RANITA DISTRIBUCIONES  S. DE R. L. DE C.V.,255t
FRANCISCO DE JESUS AGUIRRE VAZQUEZ Y/O DULCERIA BETOS,256t
MARCO DAHI DOMINGUEZ HIGUERA Y/O DULCERIA OSCARIN,257t
ANTONIA LUCERO ANGULO Y/O MEGA DULCERIA SOTRES 2,258t
OXXO PADRE KINO Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,259t
OXXO SUR Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,260t
OXXO LA FUENTE Y/O CADENA COMERCIAL OXXO S.A. DE C.V.,261t
OXXO EL PALMAR Y/O CADENA COMERCIAL OXXO S.A. DE C.V.,262t
OXXO ALLENDE Y/O CADENA COMERCIAL OXXO  S.A.D E C.V.,263t
OXXO 20 DE NOVIEMBRE Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,264t
OXXO SALINAS LEAL Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,265t
ADELA GERALDO MORALES Y/O DULCERIA DULCE,266t
DULCES ROSSY  S.A. DE C.V.,267t
OXXO KINO Y/O CADENA COMERCIAL OXXO S.A. DE C.V.,268t
OXXO BRAVO Y/O CADENA COMERCIAL OXXO S.A. DE C.V.,269t
OXXO MARGARITA MAZA Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,270t
JESUS ENRIQUE DUARTE GOMEZ Y/O  DULCERIA LA RANITA,271t
ANTONIA LUCERO ANGULO Y/O MEGA DULCERIA SOTRES,272t
MARIA ELVIA PEREZ VALENZUELA  Y/O DULCERIA EL VENADITO,273t
DULCES SEMILLAS Y PLASTICOS  DÖAZ SC DE R.L. DE C.V. Y/O DULCERIA LA PIÑATA,274t
DULCERIA ALADINOS S.A. DE C.V.,275t
TIENDAS CHEDRAUI S.A. DE C.V.,276t
LA PAZ COMERCIAL  S.A. (ALMACENES EL AGUILA),277t
COPPEL  S.A. DE C.V.,278t
ELEKTRA DEL MILENIO  S.A. DE C.V.,279t
SEARS OPERADORA  MEXICO  S.A. DE C.V. Y/O SEARS,280t
HERMANOS BATTA S.A. DE C.V. Y/O B HERMANOS,281t
GRUPO CALZAPATO S.A.DE C.V.,282t
BAJA STAR   CORP  S.A. DE C.V.,283t
COMERCIALIZADORA DAX S.A. DE C.V.  Y/O TIENDA DAX,284t
MARIA ISABEL ANGULO LUCERO Y/O DULCES Y SEMILLAS LOS PEQUES,285t
INSTALACIONES TECNICAS CALIFORNIA S.A. DE C.V.,286t
OXXO CORTINEZ  Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,287t
OXXO TUNA Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,288t
CADENA COMERCIAL OXXO S.A. DE C.V. Y/O OXXO LAZARO CARDENAS,289t
APPLEMEX  S.A. DE C.V. Y/O APPLEBEE  S   SUCURSAL LA PAZ,290t
NAYTA  S.A. DE C.V. (RESTAURANT EL AURA),291t
HOTELES Y RESTAURANTES  S.A. DE C.V. (RESTAURANTE),292t
JOKTAN ELBERT Y/O RESTAURANT BAR FRITZ,293t
LAURA ELENA CARRILLO CASTILLO Y/O ASADERO RANCHO VIEJO 2,294t
CASA LEY  S.A. DE C.V.,295t
CARLOS ARAMBURO  S.A. DE C.V. Y/O SUPERMERCADO ARAMBURO FORJADORES,296t
ALISER FELIX ORTEGA Y/O ALISER  S.A. DE C.V.,297t
TIENDAS SORIANA  S.A. DE C.V. Y/O SUCURSAL EL MEZQUITITO (621),298t
TIENDAS SORIANA S.A. DE C.V. Y/O CITY CLUB,299t
TIENDAS SORIANA S.A. DE C.V. Y/O SORIANA LA BALLENA (521),300t
NUEVA WALMART DE MEXICO  S. DE R.L. DE C.V. Y/O WALMART SUPER CENTER,301t
NUEVA WALMART DE MEXICO  S. DE R.L. DE C.V. Y/O SAMS CLUB COLA DE BALLENA,302t
TIENDAS COMERCIAL MEXICANA  S.A. DE C.V. Y/O SUCURSAL MEGA LA PAZ,303t
