Id_Producto,Id_Tienda,INCUMPLIMIENTO
52p,1767t,NO SE DETECTO INCUMPLIMIENTO
54p,1767t,NO SE DETECTO INCUMPLIMIENTO
55p,1767t,NO SE DETECTO INCUMPLIMIENTO
58p,1767t,NO SE DETECTO INCUMPLIMIENTO
63p,1767t,NO SE DETECTO INCUMPLIMIENTO
63p,1767t,Carece de certificado de cumplimiento NOM
63p,1767t,En el empaque  carece de caracteristicas elUctricas
63p,1767t,Carece del certificado de las especificaciones de seguridad.
69p,1767t,NO SE DETECTO INCUMPLIMIENTO
78p,1767t,NO SE DETECTO INCUMPLIMIENTO
79p,1767t,NO SE DETECTO INCUMPLIMIENTO
93p,1767t,NO SE DETECTO INCUMPLIMIENTO
105p,1767t,NO SE DETECTO INCUMPLIMIENTO
118p,1767t,NO SE DETECTO INCUMPLIMIENTO
123p,1767t,NO SE DETECTO INCUMPLIMIENTO
151p,1767t,NO SE DETECTO INCUMPLIMIENTO
164p,1767t,NO SE DETECTO INCUMPLIMIENTO
166p,1767t,NO SE DETECTO INCUMPLIMIENTO
175p,1767t,NO SE DETECTO INCUMPLIMIENTO
176p,1767t,NO SE DETECTO INCUMPLIMIENTO
178p,1767t,NO SE DETECTO INCUMPLIMIENTO
181p,1767t,NO SE DETECTO INCUMPLIMIENTO
1p,2009t,NO SE DETECTO INCUMPLIMIENTO
54p,2009t,NO SE DETECTO INCUMPLIMIENTO
1p,2048t,NO SE DETECTO INCUMPLIMIENTO
54p,2048t,NO SE DETECTO INCUMPLIMIENTO
93p,2048t,NO SE DETECTO INCUMPLIMIENTO
1p,2158t,NO SE DETECTO INCUMPLIMIENTO
61p,2158t,NO SE DETECTO INCUMPLIMIENTO
1p,2233t,NO SE DETECTO INCUMPLIMIENTO
1p,2241t,NO SE DETECTO INCUMPLIMIENTO
45p,2241t,NO SE DETECTO INCUMPLIMIENTO
61p,2241t,NO SE DETECTO INCUMPLIMIENTO
93p,2241t,NO SE DETECTO INCUMPLIMIENTO
104p,2241t,NO SE DETECTO INCUMPLIMIENTO
1p,2724t,NO SE DETECTO INCUMPLIMIENTO
93p,2724t,NO SE DETECTO INCUMPLIMIENTO
104p,2724t,NO SE DETECTO INCUMPLIMIENTO
1p,2917t,NO SE DETECTO INCUMPLIMIENTO
121p,2917t,NO SE DETECTO INCUMPLIMIENTO
1p,1768t,NO SE DETECTO INCUMPLIMIENTO
3p,1768t,NO SE DETECTO INCUMPLIMIENTO
3p,1768t,Carece de forro
4p,1768t,NO SE DETECTO INCUMPLIMIENTO
33p,1768t,NO SE DETECTO INCUMPLIMIENTO
34p,1768t,NO SE DETECTO INCUMPLIMIENTO
54p,1768t,NO SE DETECTO INCUMPLIMIENTO
56p,1768t,NO SE DETECTO INCUMPLIMIENTO
61p,1768t,NO SE DETECTO INCUMPLIMIENTO
63p,1768t,NO SE DETECTO INCUMPLIMIENTO
77p,1768t,NO SE DETECTO INCUMPLIMIENTO
93p,1768t,NO SE DETECTO INCUMPLIMIENTO
104p,1768t,NO SE DETECTO INCUMPLIMIENTO
105p,1768t,NO SE DETECTO INCUMPLIMIENTO
123p,1768t,NO SE DETECTO INCUMPLIMIENTO
169p,1768t,NO SE DETECTO INCUMPLIMIENTO
178p,1768t,NO SE DETECTO INCUMPLIMIENTO
1p,3334t,NO SE DETECTO INCUMPLIMIENTO
54p,3334t,NO SE DETECTO INCUMPLIMIENTO
1p,3612t,NO SE DETECTO INCUMPLIMIENTO
54p,3612t,NO SE DETECTO INCUMPLIMIENTO
61p,3612t,NO SE DETECTO INCUMPLIMIENTO
93p,3612t,NO SE DETECTO INCUMPLIMIENTO
1p,3613t,NO SE DETECTO INCUMPLIMIENTO
54p,3613t,NO SE DETECTO INCUMPLIMIENTO
1p,313t,NO SE DETECTO INCUMPLIMIENTO
3p,313t,NO SE DETECTO INCUMPLIMIENTO
4p,313t,NO SE DETECTO INCUMPLIMIENTO
6p,313t,NO SE DETECTO INCUMPLIMIENTO
9p,313t,NO SE DETECTO INCUMPLIMIENTO
10p,313t,NO SE DETECTO INCUMPLIMIENTO
11p,313t,NO SE DETECTO INCUMPLIMIENTO
13p,313t,NO SE DETECTO INCUMPLIMIENTO
15p,313t,NO SE DETECTO INCUMPLIMIENTO
18p,313t,NO SE DETECTO INCUMPLIMIENTO
21p,313t,NO SE DETECTO INCUMPLIMIENTO
21p,313t,toma de muestras
25p,313t,NO SE DETECTO INCUMPLIMIENTO
26p,313t,NO SE DETECTO INCUMPLIMIENTO
28p,313t,NO SE DETECTO INCUMPLIMIENTO
30p,313t,NO SE DETECTO INCUMPLIMIENTO
34p,313t,NO SE DETECTO INCUMPLIMIENTO
39p,313t,NO SE DETECTO INCUMPLIMIENTO
40p,313t,NO SE DETECTO INCUMPLIMIENTO
41p,313t,NO SE DETECTO INCUMPLIMIENTO
43p,313t,NO SE DETECTO INCUMPLIMIENTO
43p,313t,Informacion adicional ( la cual no debe ser contradictoria con los requisitos obligatorios de la norma )
46p,313t,NO SE DETECTO INCUMPLIMIENTO
54p,313t,NO SE DETECTO INCUMPLIMIENTO
60p,313t,NO SE DETECTO INCUMPLIMIENTO
63p,313t,NO SE DETECTO INCUMPLIMIENTO
63p,313t,Carece de certificado de cumplimiento NOM
66p,313t,NO SE DETECTO INCUMPLIMIENTO
67p,313t,NO SE DETECTO INCUMPLIMIENTO
76p,313t,NO SE DETECTO INCUMPLIMIENTO
77p,313t,NO SE DETECTO INCUMPLIMIENTO
77p,313t,Carece de certificado de cumplimiento NOM
92p,313t,NO SE DETECTO INCUMPLIMIENTO
104p,313t,NO SE DETECTO INCUMPLIMIENTO
112p,313t,No indica veracidad de la informacion comercial
112p,313t,toma de muestras
121p,313t,NO SE DETECTO INCUMPLIMIENTO
122p,313t,NO SE DETECTO INCUMPLIMIENTO
128p,313t,NO SE DETECTO INCUMPLIMIENTO
129p,313t,NO SE DETECTO INCUMPLIMIENTO
130p,313t,NO SE DETECTO INCUMPLIMIENTO
131p,313t,NO SE DETECTO INCUMPLIMIENTO
134p,313t,NO SE DETECTO INCUMPLIMIENTO
137p,313t,NO SE DETECTO INCUMPLIMIENTO
139p,313t,NO SE DETECTO INCUMPLIMIENTO
